customer_id,first_name,last_name,email,phone,city,country,signup_date
1,Austin,David,hsaunders@gmail.com,207-745-4972x958,Woodchester,Russian Federation,2022-11-18
2,James,Morris,sullivanvincent@hotmail.com,001-632-537-3400x177,Timothyport,Switzerland,2023-05-22
3,Alison,Walton,ivargas@yahoo.com,001-400-512-7956x485,Kingtown,Andorra,2024-01-10
4,Donald,Wolfe,richard49@hotmail.com,+1-199-566-9925x808,North Amy,New Caledonia,2024-03-20
5,Gregory,Larson,brian84@watts-rodgers.net,159-432-4264x555,East Tonyamouth,Swaziland,2023-02-23
6,Erika,Crawford,hilljeremy@gmail.com,+1-031-729-9021x83513,Ayalaville,Cuba,2023-04-13
7,Travis,Strong,mark46@hotmail.com,(473)887-3017x0417,North Pamela,Vanuatu,2025-03-03
8,Rachel,Daniels,tylervasquez@crosby.com,2859911168,Clarkview,Grenada,2025-03-03
9,Reginald,Castro,larrymatthews@chapman.com,389-737-9517x22916,Floydberg,Saint Lucia,2022-12-03
10,Christian,Johnson,cunninghamdebbie@anderson.org,3011592262,Elizabethview,Kyrgyz Republic,2023-01-06
11,Rachel,Collins,cynthia13@hotmail.com,+1-067-426-5537,Kathyton,Marshall Islands,2023-10-04
12,Jeffery,Haynes,nwilliams@gmail.com,+1-329-104-0813x07301,Port Leahberg,Hungary,2023-09-27
13,Daniel,Reed,nancy95@pham-gill.com,(430)095-1509x83948,Atkinsonburgh,New Zealand,2025-01-09
14,Eric,Watson,nicholas48@yahoo.com,7046102561,Rochaton,Norway,2023-03-10
15,Amber,Dawson,timothycarter@price-lopez.com,365.642.6628x3784,Heathmouth,Belize,2023-04-03
16,Samuel,Ward,melissa96@gmail.com,(640)352-8743x0176,Stephaniehaven,Mayotte,2025-03-12
17,Wesley,Murphy,lisatorres@jones-rice.biz,548-947-7236x0385,West Susan,Holy See (Vatican City State),2023-09-30
18,Francisco,Ruiz,kevinbecker@villarreal.biz,+1-854-905-4421x435,Stephanieborough,Egypt,2025-01-10
