employee_id,first_name,last_name,email,department_id,hire_date,salary
1,Benjamin,Ramirez,richard66@yahoo.com,5,2020-06-11,84205.27
2,Christopher,Cox,kirstenfisher@yahoo.com,1,2020-08-06,119270.5
3,Alan,Quinn,allenshane@arnold.org,3,2024-03-30,45832.68
4,Gabriel,Simmons,drodriguez@morales.com,5,2021-10-24,103418.66
5,Jasmin,Gutierrez,jamesthomas@gmail.com,2,2023-07-11,87342.43
6,Mary,Mathis,terrencebaker@hamilton-patterson.info,3,2022-01-23,111964.46
7,Rodney,Taylor,brittneypetty@gmail.com,2,2023-05-27,79538.86
8,Betty,Graham,wjones@avery.com,2,2020-06-03,80474.81
9,Rebecca,Joseph,riveradavid@butler.com,4,2023-08-18,102072.69
10,Alicia,Noble,paultorres@cook.com,4,2021-02-05,115697.53
11,Tyler,Smith,yeseniaharrison@gmail.com,3,2023-10-25,113955.93
12,Alyssa,Harris,kevinthomas@lyons-williams.com,5,2024-03-03,41987.44
13,Steven,Fields,fperez@gmail.com,5,2020-07-11,99496.94
14,James,Hernandez,cthompson@sparks-young.info,4,2022-12-10,57586.39
15,Kayla,Davidson,goldenrichard@schmidt-crawford.biz,1,2021-10-04,52547.68
16,Andrew,Green,grace27@gmail.com,3,2020-06-29,38664.04
17,Kelly,Brown,moorevalerie@hotmail.com,5,2023-09-25,43669.84
18,Tara,Lester,nicole31@stewart.com,1,2023-08-16,49458.61
19,Gordon,Randolph,shawnacosta@hotmail.com,1,2021-11-01,56759.28
20,Jessica,Owen,scottshaw@miranda.com,4,2023-05-18,89008.05
